SQL_ApplicationId,API_DocumentId,API_DocumentTypeId,API_DocumentType,API_DocumentReference,API_DocumentStatusId,API_DocumentStatus,API_TransactionId,API_WorkflowId,API_DisplayName,API_StartDate,API_EndDate,API_AppliedDate,API_TransationStatus,API_TransactionSequence,API_TransactionSubTypeOtherDescription,API_ReasonForChange_Id,API_UserSuppliedText,API_DocumentVersion,API_IssuedDate,API_DocumentKey,API_RiskName,API_StorageId,API_DocumentMetaData
75532,494509,1,TradingCertificate,null,5,Issued,273522,2b80aa21-50b9-4b60-834d-75a05f5418d0,Policy,2020-03-14T12:00:00+00:00,2021-03-14T12:00:00+00:00,2020-03-13T17:13:03.1601534+00:00,Bound,1,null,null,null,1,2020-03-13T17:19:57.1266947+00:00,PR:1039710;MR:57530;RR:524923;TID:25,AQUA JACK I,testStorageID,Test1
75532,494512,1,TradingCertificate,null,5,Issued,273522,2b80aa21-50b9-4b60-834d-75a05f5418d0,Policy,2020-03-14T12:00:00+00:00,2021-03-14T12:00:00+00:00,2020-03-13T17:13:03.1601534+00:00,Bound,1,null,null,null,1,2020-03-13T17:19:57.6267149+00:00,PR:1039710;MR:57530;RR:524923;TID:26,AQUA JACK I,testStorageID,Test1
75531,494510,1,TradingCertificate,null,5,Issued,273521,79534906-7403-41ea-a42d-02408159ed3d,Policy,2020-03-14T12:00:00+00:00,2021-03-14T12:00:00+00:00,2020-03-13T17:12:52.9894453+00:00,Bound,1,null,null,null,1,2020-03-13T17:19:57.2985789+00:00,PR:1039708;MR:57530;RR:543706;TID:25,AQUA RISE III,testStorageID,Test1
75531,494513,1,TradingCertificate,null,5,Issued,273521,79534906-7403-41ea-a42d-02408159ed3d,Policy,2020-03-14T12:00:00+00:00,2021-03-14T12:00:00+00:00,2020-03-13T17:12:52.9894453+00:00,Bound,1,null,null,null,1,2020-03-13T17:19:57.7985855+00:00,PR:1039708;MR:57530;RR:543706;TID:26,AQUA RISE III,testStorageID,Test1
75530,494511,1,TradingCertificate,null,5,Issued,273519,086dd18b-5774-4786-b530-028588a282c4,Policy,2020-03-14T12:00:00+00:00,2021-03-14T12:00:00+00:00,2020-03-13T17:12:43.1587569+00:00,Bound,1,null,null,null,1,2020-03-13T17:19:57.4704547+00:00,PR:1039709;MR:57530;RR:678181;TID:25,DIXIE PATRIOT,testStorageID,Test1
75530,494514,1,TradingCertificate,null,5,Issued,273519,086dd18b-5774-4786-b530-028588a282c4,Policy,2020-03-14T12:00:00+00:00,2021-03-14T12:00:00+00:00,2020-03-13T17:12:43.1587569+00:00,Bound,1,null,null,null,1,2020-03-13T17:19:57.9548407+00:00,PR:1039709;MR:57530;RR:678181;TID:26,DIXIE PATRIOT,testStorageID,Test1
75530,494516,1,TradingCertificate,null,5,Issued,273519,086dd18b-5774-4786-b530-028588a282c4,Policy,2020-03-14T12:00:00+00:00,2021-03-14T12:00:00+00:00,2020-03-13T17:12:43.1587569+00:00,Bound,1,null,null,null,1,2020-03-13T17:19:58.2985942+00:00,PR:1039709;MR:57530;RR:678181;TID:5,DIXIE PATRIOT,testStorageID,Test1
75527,494500,1,TradingCertificate,null,5,Issued,273503,20207202-a390-493c-861b-eb9e97aaa359,Policy,2020-03-14T12:00:00+00:00,2020-04-14T12:00:00+00:00,2020-03-13T16:54:56.7809801+00:00,Bound,1,null,null,null,1,2020-03-13T17:19:55.751714+00:00,PR:1039337;MR:51942;RR:505109;TID:6,NDST01,testStorageID,Test1
75527,494501,1,TradingCertificate,null,5,Issued,273503,20207202-a390-493c-861b-eb9e97aaa359,Policy,2020-03-14T12:00:00+00:00,2020-04-14T12:00:00+00:00,2020-03-13T16:54:56.7809801+00:00,Bound,1,null,null,null,1,2020-03-13T17:19:55.8922991+00:00,PR:1039337;MR:51942;RR:505110;TID:6,NDST02,testStorageID,Test1
75527,494502,1,TradingCertificate,null,5,Issued,273503,20207202-a390-493c-861b-eb9e97aaa359,Policy,2020-03-14T12:00:00+00:00,2020-04-14T12:00:00+00:00,2020-03-13T16:54:56.7809801+00:00,Bound,1,null,null,null,1,2020-03-13T17:19:56.0173021+00:00,PR:1039337;MR:51942;RR:505111;TID:6,NDST03,testStorageID,Test1
